State,Year,Quarter,District,Registered_users
Arunachal Pradesh,2018,3,changlang,2889
Arunachal Pradesh,2018,3,lohit,2612
Arunachal Pradesh,2018,3,namsai,1862
Arunachal Pradesh,2018,3,west siang,1652
Arunachal Pradesh,2018,3,lower dibang valley,1286
Arunachal Pradesh,2018,3,tirap,1226
Arunachal Pradesh,2018,4,papum pare,21342
Arunachal Pradesh,2018,4,west kameng,6492
Arunachal Pradesh,2018,4,east siang,4813
Arunachal Pradesh,2018,4,tawang,4085
Arunachal Pradesh,2018,4,changlang,4036
Arunachal Pradesh,2018,4,lohit,3588
Arunachal Pradesh,2018,4,namsai,2495
Arunachal Pradesh,2018,4,west siang,2117
Arunachal Pradesh,2018,4,lower dibang valley,1827
Arunachal Pradesh,2018,4,tirap,1684
Arunachal Pradesh,2019,1,papum pare,26298
Arunachal Pradesh,2019,1,west kameng,8115
Arunachal Pradesh,2019,1,east siang,5899
Arunachal Pradesh,2019,1,changlang,5210
Arunachal Pradesh,2019,1,tawang,5023
Arunachal Pradesh,2019,1,lohit,4416
Arunachal Pradesh,2019,1,namsai,3153
Arunachal Pradesh,2019,1,west siang,2656
Arunachal Pradesh,2019,1,lower dibang valley,2314
Arunachal Pradesh,2019,1,tirap,2082
Arunachal Pradesh,2019,2,papum pare,32800
Arunachal Pradesh,2019,2,west kameng,9782
Arunachal Pradesh,2019,2,east siang,7319
Arunachal Pradesh,2019,2,changlang,6884
Arunachal Pradesh,2019,2,tawang,5908
Arunachal Pradesh,2019,2,lohit,5485
Arunachal Pradesh,2019,2,namsai,3914
Arunachal Pradesh,2019,2,west siang,3393
Arunachal Pradesh,2019,2,lower dibang valley,2842
Arunachal Pradesh,2019,2,tirap,2697
Arunachal Pradesh,2019,3,papum pare,38845
Arunachal Pradesh,2019,3,west kameng,11186
Arunachal Pradesh,2019,3,east siang,8571
Arunachal Pradesh,2019,3,changlang,8145
Arunachal Pradesh,2019,3,tawang,6553
Arunachal Pradesh,2019,3,lohit,6421
Arunachal Pradesh,2019,3,namsai,4563
Arunachal Pradesh,2019,3,west siang,4101
Arunachal Pradesh,2019,3,lower dibang valley,3398
Arunachal Pradesh,2019,3,tirap,3099
Arunachal Pradesh,2019,4,papum pare,44746
Arunachal Pradesh,2019,4,west kameng,12562
